id,Rdiff,SRS,R_G,R,RBI,OBP,OPSP,RA,ERA,SV,HA,ER,ERAP,WHIP,opponent_Rdiff,opponent_SRS,opponent_R_G,opponent_R,opponent_RBI,opponent_OBP,opponent_OPSP,opponent_RA,opponent_ERA,opponent_SV,opponent_HA,opponent_ER,opponent_ERAP,opponent_WHIP,Outcome
1257,0.200,0.400,5.086,824.000,4.510,0.338,90.000,4.600,112.000,47.000,1453.000,721.000,1.381,2.390,-0.800,-0.600,4.648,753.000,5.170,0.329,97.000,5.100,87.000,33.000,1442.000,821.000,1.450,2.060,1
1258,1.200,1.200,4.753,770.000,3.380,0.334,104.000,3.700,123.000,51.000,1226.000,543.000,1.155,3.500,0.300,0.500,5.012,812.000,3.660,0.329,94.000,4.000,127.000,43.000,1309.000,586.000,1.266,2.870,1
1259,0.600,0.600,4.519,732.000,4.000,0.322,94.000,4.000,110.000,54.000,1381.000,642.000,1.338,2.430,-1.700,-1.500,4.586,743.000,4.970,0.312,99.000,5.500,88.000,35.000,1505.000,795.000,1.446,2.130,1
1260,-0.300,-0.300,4.259,690.000,4.550,0.315,89.000,4.500,96.000,33.000,1471.000,729.000,1.387,2.480,-0.180,0.100,4.123,668.000,4.220,0.318,86.000,4.300,100.000,36.000,1464.000,676.000,1.371,2.470,0
1261,0.400,0.400,4.698,761.000,4.010,0.334,99.000,4.300,106.000,43.000,1393.000,646.000,1.300,2.740,-1.400,-1.200,4.802,778.000,4.820,0.331,107.000,5.000,83.000,34.000,1450.000,772.000,1.440,1.920,0
1262,1.000,0.600,5.049,818.000,3.300,0.339,104.000,4.000,140.000,37.000,1267.000,529.000,1.161,3.980,-0.900,-0.700,3.728,604.000,4.670,0.299,83.000,4.700,90.000,45.000,1417.000,742.000,1.378,2.390,0
1263,-1.000,-1.200,4.537,735.000,5.360,0.324,98.000,4.900,84.000,32.000,1587.000,846.000,1.496,2.230,-0.600,-0.300,3.944,639.000,4.500,0.309,81.000,4.300,95.000,32.000,1515.000,726.000,1.385,2.490,0
1264,-0.200,-0.500,5.031,815.000,4.590,0.334,104.000,4.800,97.000,42.000,1487.000,732.000,1.372,2.410,-0.120,0.100,4.383,710.000,4.200,0.315,92.000,4.500,102.000,43.000,1373.000,672.000,1.279,2.790,0
1265,1.100,0.900,5.296,858.000,3.720,0.339,104.000,4.100,122.000,36.000,1248.000,599.000,1.209,3.100,-0.800,-0.700,4.278,693.000,4.420,0.312,90.000,5.100,102.000,45.000,1460.000,720.000,1.371,2.500,0
1266,0.900,0.800,4.562,739.000,4.670,0.319,104.000,4.200,91.000,35.000,1444.000,743.000,1.360,2.390,-1.200,-1.400,4.358,706.000,4.780,0.314,96.000,5.200,90.000,25.000,1384.000,755.000,1.418,1.890,1
1267,-0.200,-0.100,4.630,750.000,4.460,0.325,103.000,4.400,94.000,39.000,1399.000,713.000,1.312,2.540,-1.200,-1.400,4.333,702.000,4.610,0.311,93.000,5.100,97.000,39.000,1480.000,737.000,1.390,2.340,0
1268,-0.700,-0.600,4.932,799.000,4.660,0.320,92.000,5.200,103.000,29.000,1443.000,742.000,1.396,1.980,1.400,1.200,4.846,785.000,3.700,0.329,93.000,4.000,121.000,39.000,1384.000,610.000,1.247,3.400,1
1269,0.700,0.700,5.074,822.000,3.950,0.338,99.000,4.000,113.000,38.000,1294.000,636.000,1.277,2.600,0.600,0.600,4.519,732.000,4.000,0.322,94.000,4.000,110.000,54.000,1381.000,642.000,1.338,2.430,0
1270,0.200,0.400,5.086,824.000,4.510,0.338,90.000,4.600,112.000,47.000,1453.000,721.000,1.381,2.390,-0.800,-0.600,4.648,753.000,5.170,0.329,97.000,5.100,87.000,33.000,1442.000,821.000,1.450,2.060,0
1271,1.200,1.200,4.753,770.000,3.380,0.334,104.000,3.700,123.000,51.000,1226.000,543.000,1.155,3.500,0.300,0.500,5.012,812.000,3.660,0.329,94.000,4.000,127.000,43.000,1309.000,586.000,1.266,2.870,1
1272,-0.300,-0.300,4.259,690.000,4.550,0.315,89.000,4.500,96.000,33.000,1471.000,729.000,1.387,2.480,-0.180,0.100,4.123,668.000,4.220,0.318,86.000,4.300,100.000,36.000,1464.000,676.000,1.371,2.470,0
1273,0.400,0.400,4.698,761.000,4.010,0.334,99.000,4.300,106.000,43.000,1393.000,646.000,1.300,2.740,-1.400,-1.200,4.802,778.000,4.820,0.331,107.000,5.000,83.000,34.000,1450.000,772.000,1.440,1.920,1
1274,0.500,0.500,5.056,819.000,3.880,0.332,99.000,4.200,116.000,46.000,1300.000,623.000,1.241,2.940,0.600,0.600,4.519,732.000,4.720,0.326,92.000,4.100,93.000,36.000,1463.000,756.000,1.420,2.150,0
1275,1.000,0.600,5.049,818.000,3.300,0.339,104.000,4.000,140.000,37.000,1267.000,529.000,1.161,3.980,-0.900,-0.700,3.728,604.000,4.670,0.299,83.000,4.700,90.000,45.000,1417.000,742.000,1.378,2.390,1
1276,-1.000,-1.200,4.537,735.000,5.360,0.324,98.000,4.900,84.000,32.000,1587.000,846.000,1.496,2.230,-0.600,-0.300,3.944,639.000,4.500,0.309,81.000,4.300,95.000,32.000,1515.000,726.000,1.385,2.490,1
1277,-0.200,-0.500,5.031,815.000,4.590,0.334,104.000,4.800,97.000,42.000,1487.000,732.000,1.372,2.410,-1.700,-1.500,4.586,743.000,4.970,0.312,99.000,5.500,88.000,35.000,1505.000,795.000,1.446,2.130,1
1278,-0.200,-0.100,4.630,750.000,4.460,0.325,103.000,4.400,94.000,39.000,1399.000,713.000,1.312,2.540,0.900,0.800,4.562,739.000,4.670,0.319,104.000,4.200,91.000,35.000,1444.000,743.000,1.360,2.390,0
1279,0.400,0.300,4.284,694.000,3.970,0.317,100.000,4.000,105.000,53.000,1324.000,638.000,1.264,2.690,1.400,1.200,4.846,785.000,3.700,0.329,93.000,4.000,121.000,39.000,1384.000,610.000,1.247,3.400,1
1280,-0.800,-0.700,4.278,693.000,4.420,0.312,90.000,5.100,102.000,45.000,1460.000,720.000,1.371,2.500,1.600,1.500,5.531,896.000,4.120,0.346,124.000,3.300,98.000,45.000,1314.000,662.000,1.270,3.050,1
1281,0.300,0.500,5.012,812.000,3.660,0.329,94.000,4.000,127.000,43.000,1309.000,586.000,1.266,2.870,-0.800,-0.600,4.648,753.000,5.170,0.329,97.000,5.100,87.000,33.000,1442.000,821.000,1.450,2.060,1
1282,0.700,0.700,5.074,822.000,3.950,0.338,99.000,4.000,113.000,38.000,1294.000,636.000,1.277,2.600,-0.180,0.100,4.123,668.000,4.220,0.318,86.000,4.300,100.000,36.000,1464.000,676.000,1.371,2.470,1
1283,0.200,0.400,5.086,824.000,4.510,0.338,90.000,4.600,112.000,47.000,1453.000,721.000,1.381,2.390,-1.200,-1.400,4.358,706.000,4.780,0.314,96.000,5.200,90.000,25.000,1384.000,755.000,1.418,1.890,1
1284,1.200,1.200,4.753,770.000,3.380,0.334,104.000,3.700,123.000,51.000,1226.000,543.000,1.155,3.500,-1.200,-1.400,4.333,702.000,4.610,0.311,93.000,5.100,97.000,39.000,1480.000,737.000,1.390,2.340,1
1285,-0.300,-0.300,4.259,690.000,4.550,0.315,89.000,4.500,96.000,33.000,1471.000,729.000,1.387,2.480,-0.900,-0.700,3.728,604.000,4.670,0.299,83.000,4.700,90.000,45.000,1417.000,742.000,1.378,2.390,0
1286,-0.600,-0.300,3.944,639.000,4.500,0.309,81.000,4.300,95.000,32.000,1515.000,726.000,1.385,2.490,-1.400,-1.200,4.802,778.000,4.820,0.331,107.000,5.000,83.000,34.000,1450.000,772.000,1.440,1.920,0
1287,0.400,0.400,4.698,761.000,4.010,0.334,99.000,4.300,106.000,43.000,1393.000,646.000,1.300,2.740,-0.200,-0.100,4.537,735.000,5.010,0.320,100.000,4.400,83.000,34.000,1538.000,799.000,1.485,2.320,0
1288,0.500,0.500,5.056,819.000,3.880,0.332,99.000,4.200,116.000,46.000,1300.000,623.000,1.241,2.940,0.600,0.600,4.519,732.000,4.720,0.326,92.000,4.100,93.000,36.000,1463.000,756.000,1.420,2.150,1
